video_id,title,channel,published,query_used
BjQHuBvdyNg,Political Spectrums Explained — Why is there a left wing and right wing?,Mr. Beat,2019-11-22T12:30:01Z,extremist movements canada policy
WQwZK-bdtcU,PART 2: Normalization | The striking rise of right-wing extremism | Unravelled,TVO Today,2024-05-23T18:15:08Z,extremist movements canada policy
tm3miOCbfTo,Meet the Extremists Ottawa Won’t Touch,The Eh-List | Deconstructing Canadian Propaganda,2025-06-16T21:00:58Z,extremist movements canada policy
nWGgjuJGB4U,🚨 BIG BREAKING: Canada Designates Babbar Khalsa International &amp; ISYF as Terrorist Organizations 😱🔥,Insight Today News,2025-09-08T14:24:00Z,extremist movements canada policy
9XFqCb9zML0,"Trudeau&#39;s Khalistani Curse: After PM Modi Talked Tough On Extremism, India &amp; Canada Hit Pause on FTA",Times Now,2023-09-18T09:35:52Z,extremist movements canada policy
ev0UEyXxX4o,Canada expels Indian diplomat amid tensions over killing of Khalistani terrorist Hardeep Nijjar,WION,2023-09-19T04:12:03Z,extremist movements canada policy
6C60nemVVEM,Historical Drivers of Nationalist Extremism in North America,Ford School of Public Policy,2021-11-21T00:45:08Z,extremist movements canada policy
eoCtRqz3SOQ,New bill would define hatred in the Criminal Code make promotion of terror groups illegal,Canada News Today,2025-09-18T08:42:39Z,extremist movements canada policy
yz7ZB3Yahwo,"Double Standard: Canada’s terrorist list, the IDF, Palestinians and the case of Khaled Barakat",Just Peace Advocates,2022-05-14T23:52:59Z,extremist movements canada policy
43SWAKwoVxc,Thriving on uncertainty: COVID-19 related opportunities for terrorist groups,Policy Center for the New South,2021-09-23T15:44:18Z,extremist movements canada policy
-zKV7kFeL4s,Trudeau&#39;s Troubled India Trip: Will It Finally Prompt Action Against Khalistani Extremism?| Newshour,Times Now,2023-09-12T17:39:46Z,extremist movements canada policy
T9qI59ft_ww,Why Canada PM Trudeau Defending Khalistani Extremist | News9,NEWS9 Live,2023-07-08T03:04:53Z,extremist movements canada policy
wgRWjgbqZbU,CNN News18 Exclusive On K-Terrorist Funding Canadian Govt. | #therightstand With Anand Narasimhan,CNN-News18,2024-12-18T14:26:36Z,extremist movements canada policy
zqozASuLRT8,From Nazis to Terrorists: Canada’s Long History of Siding with Extremists Continues Under Trudeau,Ritam English - News,2024-10-18T10:09:11Z,extremist movements canada policy
UFRp6xiVrRc,Canada Admits ‘Khalistani Extremists Target India’ | Why Mark Carney Govt’s K-Admission Matters?,Times Now,2025-06-19T15:03:59Z,extremist movements canada policy
